date,X,Y,Z,DB,a,pos
2016-07-30 14:39:52:855,8.437168,0.986411,-5.813122,46.66019,0.483259829035,0.0148947674622
2016-07-30 14:39:53:355,7.900866,0.517148,-5.592855,43.5492,-0.116128087555,-0.00247299207034
2016-07-30 14:39:53:856,8.714894,0.517148,-5.48751,42.13132,0.501623804486,-0.0184916191372
2016-07-30 14:39:54:355,8.322245,0.469264,-5.870582,45.4173,0.385278493521,-0.0320893784736
2016-07-30 14:39:54:856,7.910443,0.584185,-5.631162,44.66979,-0.0823915559518,-0.0426407922091
2016-07-30 14:39:55:355,8.389284,0.584185,-6.014234,46.49646,0.528876571158,-0.0500183433041
2016-07-30 14:39:55:856,8.532936,0.335188,-5.554548,46.22008,0.377067844073,-0.054562036296
2016-07-30 14:39:56:355,8.169016,0.373495,-5.123591,48.27053,-0.159947893479,-0.056979092268
2016-07-30 14:39:56:855,8.896854,0.277727,-5.975927,46.12221,0.911140186248,-0.0581969407296
2016-07-30 14:39:57:356,7.833828,0.574608,-5.075707,46.20044,-0.45789665171,-0.0591986095716
2016-07-30 14:39:57:856,8.858546,0.258574,-5.822698,46.37036,0.793985559534,-0.0608698745042
2016-07-30 14:39:58:355,8.686164,0.296881,-6.14831,46.05767,0.836093143457,-0.0638824837133
2016-07-30 14:39:58:855,8.054095,0.804452,-5.085284,46.25733,-0.250936099702,-0.0686287647417
2016-07-30 14:39:59:356,8.389284,0.574608,-5.506664,46.04599,0.2415475821,-0.0752119505534
2016-07-30 14:39:59:855,8.66701,0.641646,-6.014234,46.51753,0.758811784499,-0.083485868327
2016-07-30 14:40:00:355,8.207323,0.459687,-5.286397,45.37441,-0.0366967607719,-0.0931292449226
2016-07-30 14:40:00:855,8.331822,0.622492,-4.865018,46.32053,-0.141745024562,-0.103735230483
2016-07-30 14:40:01:356,8.714894,0.325611,-5.956774,49.49906,0.751181583593,-0.114896418688
2016-07-30 14:40:01:856,8.494628,0.287304,-5.525817,51.13471,0.327845035524,-0.126269332233
2016-07-30 14:40:02:355,8.025364,0.383072,-5.382165,50.84067,-0.139378945647,-0.137608936549
2016-07-30 14:40:02:856,8.590396,0.526724,-5.363012,49.95247,0.330721834324,-0.148771613537
2016-07-30 14:40:03:356,8.705318,0.153229,-5.449203,47.7079,0.46131218213,-0.159692383143
2016-07-30 14:40:03:856,8.437168,0.220267,-5.391742,46.31645,0.205248534414,-0.170347439803
2016-07-30 14:40:04:355,8.42759,0.268151,-5.343858,45.74117,0.172634746953,-0.180715250953
2016-07-30 14:40:04:855,8.485052,0.306458,-5.889736,45.68549,0.523393155114,-0.190748258269
2016-07-30 14:40:05:356,8.619126,0.344765,-5.477933,45.08303,0.408412100791,-0.20036310881
2016-07-30 14:40:05:855,8.073248,0.229843,-5.391742,46.81946,-0.0991275948699,-0.209451438084
2016-07-30 14:40:06:356,8.532936,0.459687,-5.592855,47.91915,0.402851510185,-0.217907018353
2016-07-30 14:40:06:855,8.542512,0.775721,-5.851429,46.09424,0.573423119667,-0.225660096769
2016-07-30 14:40:07:356,8.063671,0.459687,-5.430049,46.30338,-0.077603877944,-0.23270719876
2016-07-30 14:40:07:855,8.283938,0.708684,-5.822698,44.32535,0.340353382957,-0.239125209355
2016-07-30 14:40:08:356,8.55209,0.775721,-5.679046,47.41588,0.485219760066,-0.245062098647
2016-07-30 14:40:08:855,8.130709,0.019154,-5.200206,44.71706,-0.158526632641,-0.250702453635
2016-07-30 14:40:09:356,8.513782,0.497994,-5.707777,45.25878,0.452124548518,-0.256212703792
