date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:40:13:355,8.485052,0.373495,-5.96635,46.73882
2016-07-30 14:40:13:855,8.58082,0.143652,-6.023811,46.92253
2016-07-30 14:40:14:355,7.920019,0.411803,-5.152322,46.19333
2016-07-30 14:40:14:855,8.743626,0.842759,-5.947197,46.4117
2016-07-30 14:40:15:356,8.657434,0.555455,-6.224924,49.55908
2016-07-30 14:40:15:855,7.852982,0.296881,-5.171476,45.41501
2016-07-30 14:40:16:357,8.810662,0.517148,-5.573701,45.65584
2016-07-30 14:40:16:855,8.446744,0.737414,-5.889736,47.22159
2016-07-30 14:40:17:356,8.140286,0.526724,-5.420472,45.12902
2016-07-30 14:40:17:856,8.686164,0.708684,-4.903325,51.16063
2016-07-30 14:40:18:355,8.58082,0.536301,-5.449203,53.96013
2016-07-30 14:40:18:856,8.2169,0.699107,-6.272808,44.91692
2016-07-30 14:40:19:355,8.101979,0.679953,-5.161899,47.21932
2016-07-30 14:40:19:855,8.485052,0.191536,-5.477933,51.99565
2016-07-30 14:40:20:355,8.66701,0.076614,-5.746084,50.54053
2016-07-30 14:40:20:855,7.824251,0.411803,-5.861006,54.35413
2016-07-30 14:40:21:357,8.686164,0.354342,-5.736507,50.64241
2016-07-30 14:40:21:855,8.42759,0.325611,-5.21936,48.13855
2016-07-30 14:40:22:355,8.149863,0.708684,-5.688623,47.43622
2016-07-30 14:40:22:856,8.753202,0.363919,-5.880159,46.53415
2016-07-30 14:40:23:357,8.264784,0.497994,-5.056554,47.28665
2016-07-30 14:40:23:856,8.513782,0.287304,-5.477933,46.00057
2016-07-30 14:40:24:355,8.418014,0.584185,-5.717354,46.60231
2016-07-30 14:40:24:855,8.274361,0.632069,-5.468356,48.28261
2016-07-30 14:40:25:356,8.887278,0.201113,-5.420472,48.16329
2016-07-30 14:40:25:856,8.303091,0.105345,-4.874594,47.49846
2016-07-30 14:40:26:355,8.657434,0.708684,-5.382165,44.25865
2016-07-30 14:40:26:855,8.37013,0.440533,-5.410896,52.33744
2016-07-30 14:40:27:355,8.714894,0.469264,-5.468356,44.18373
2016-07-30 14:40:27:856,8.37013,0.737414,-5.497087,45.27245
2016-07-30 14:40:28:357,8.264784,0.373495,-5.286397,43.55632
2016-07-30 14:40:28:855,8.801086,0.603339,-5.72693,43.19924
2016-07-30 14:40:29:356,8.456322,1.11091,-5.343858,47.0438
2016-07-30 14:40:29:855,8.628704,0.42138,-5.238513,51.45534
2016-07-30 14:40:30:356,8.312668,0.086191,-5.190629,51.08849
2016-07-30 14:40:30:856,8.753202,0.124498,-5.430049,50.38219
2016-07-30 14:40:31:355,8.37013,0.402226,-5.372588,45.11351
2016-07-30 14:40:31:856,8.734048,0.229843,-5.267244,48.16695
2016-07-30 14:40:32:355,8.513782,0.373495,-5.353435,44.85199
2016-07-30 14:40:32:855,8.628704,0.373495,-5.430049,45.50252
2016-07-30 14:40:33:356,8.762778,0.42138,-5.315128,45.14725
2016-07-30 14:40:33:856,7.900866,0.45011,-5.200206,44.92905
2016-07-30 14:40:34:356,9.069236,0.651223,-5.573701,46.22292
2016-07-30 14:40:34:855,8.226477,0.038307,-5.382165,43.79961
2016-07-30 14:40:35:356,8.303091,0.191536,-5.161899,43.72896
2016-07-30 14:40:35:856,9.165004,1.005565,-5.573701,45.1901
2016-07-30 14:40:36:355,8.456322,0.411803,-5.449203,45.89983
2016-07-30 14:40:36:855,8.111555,0.114922,-5.305551,46.45481
2016-07-30 14:40:37:355,8.8777,0.497994,-5.420472,45.83643
2016-07-30 14:40:37:855,8.734048,0.545878,-5.679046,43.25547
2016-07-30 14:40:38:356,7.862559,0.229843,-5.181052,48.38857
2016-07-30 14:40:38:855,8.963892,0.430956,-5.353435,52.25795
2016-07-30 14:40:39:355,8.628704,0.296881,-5.449203,50.86013
2016-07-30 14:40:39:856,8.207323,0.344765,-5.200206,51.85581
2016-07-30 14:40:40:355,8.743626,0.363919,-5.497087,50.68154
2016-07-30 14:40:40:856,8.619126,0.316035,-5.430049,48.30731
2016-07-30 14:40:41:355,8.092402,0.459687,-5.27682,56.5419
2016-07-30 14:40:41:856,9.021352,0.363919,-5.621585,52.1532
2016-07-30 14:40:42:355,8.245631,0.277727,-5.267244,46.69078
2016-07-30 14:40:42:855,8.18817,0.191536,-5.382165,46.98285
2016-07-30 14:40:43:355,9.27035,0.220267,-6.167464,50.98792
2016-07-30 14:40:43:856,8.446744,0.536301,-4.807557,50.92467
2016-07-30 14:40:44:356,7.766791,0.373495,-4.979939,52.7036
2016-07-30 14:40:44:855,9.624692,0.354342,-5.985504,49.90509
2016-07-30 14:40:45:356,8.523358,0.287304,-5.085284,46.72568
2016-07-30 14:40:45:855,8.044518,0.383072,-4.539406,46.43227
2016-07-30 14:40:46:356,9.461886,0.143652,-5.573701,48.83684
